#{"t_start": 1716827975.584776, "env_id": "None"}
-10.22,23,123.962286
-10.96,97,124.523235
-10.27,28,124.684103
-10.2,21,124.812279
-10.05,6,124.842004
-10.9,91,125.407917
-11.05,106,125.944295
-10.39,40,126.134675
-10.1,11,126.188684
-10.37,38,126.460265
-10.66,67,126.836486
-10.24,25,126.962052
-10.22,23,127.072951
-10.28,29,127.212497
-10.37,38,127.402738
-10.23,24,127.54737
-10.17,18,127.695709
-10.1,11,127.762121
-10.12,13,127.836995
-10.78,79,128.247089
-10.25,26,128.371855
-10.04,5,128.394571
-10.48,49,128.640942
-10.24,25,128.798842
-10.13,14,128.899381
-10.37,38,129.123898
-10.38,39,129.316703
-10.62,63,129.592575
-11.12,113,130.071903
-10.6,61,130.311724
-10.76,77,130.594622
-10.21,22,130.669815
-10.12,13,130.720073
-10.13,14,130.771409
-10.95,96,131.131508
-10.64,65,131.456857
-10.31,32,131.576836
-10.32,33,131.700023
-10.22,23,131.780179
-10.53,54,131.975828
-10.32,33,132.099777
-11.19,120,132.631365
-10.5,51,132.819114
-10.23,24,132.910074
-10.12,13,132.955216
-10.65,66,133.211593
-10.07,8,133.235983
-10.31,32,133.3576
-10.42,43,133.516775
-10.28,29,133.665962
-10.12,13,133.758212
-10.12,13,133.803385
-10.22,23,133.888576
-10.52,53,134.077824
-10.17,18,134.145746
-10.59,60,134.372239
-10.73,74,134.639902
-10.23,24,134.72749
-10.07,8,134.750603
-10.3,31,134.922649
-10.18,19,135.013255
-11.06,107,135.416085
-10.09,10,135.453133
-10.24,25,135.54854
-10.13,14,135.594347
-10.62,63,135.824997
-10.05,6,135.850552
-10.58,59,136.123622
-10.14,15,136.216692
-10.33,34,136.338396
-10.5,51,136.518601
-10.81,82,136.808749
-10.66,67,137.115193
-10.29,30,137.361643
-10.22,23,137.468281
-10.71,72,137.871308
-10.76,77,138.342086
-10.11,12,138.430694
-10.31,32,138.63752
-10.48,49,138.901915
-10.37,38,139.11734
-10.68,69,139.513443
-10.3,31,139.747412
-10.25,26,139.888901
-10.29,30,140.034457
-10.65,66,140.418911
-10.53,54,140.724573
-10.18,19,140.832719
-10.63,64,141.196622
-10.36,37,141.414737
-10.14,15,141.491579
-10.14,15,141.583939
-10.78,79,142.045215
-10.25,26,142.21353
-11.27,128,142.895124
-10.25,26,143.023338
-10.79,80,143.513862
-10.3,31,143.69693
-10.76,77,144.065554
-10.09,10,144.114203
-10.32,33,144.284832
-10.16,17,144.370382
-10.18,19,144.538398
-10.34,35,144.730534
-10.63,64,145.047967
-10.54,55,145.309556
-10.24,25,145.436801
-10.06,7,145.46493
-10.04,5,145.487215
-10.23,24,145.624786
-10.45,46,145.922205
-10.12,13,145.997708
-10.2,21,146.091849
-10.22,23,146.199954
-10.35,36,146.355097
-10.41,42,146.503395
-10.07,8,146.541018
-10.89,90,146.933522
-10.49,50,147.140435
-10.1,11,147.180198
-10.98,99,147.539566
-10.07,8,147.564291
-10.09,10,147.601514
-10.08,9,147.63525
-10.25,26,147.727087
-10.39,40,147.871582
-10.23,24,147.960668
-10.68,69,148.305789
-10.62,63,148.537833
-10.49,50,148.716837
-10.12,13,148.765511
-10.1,11,148.804743
-10.11,12,148.852514
-10.28,29,148.953619
-10.46,47,149.13599
-10.2,21,149.209438
-10.2,21,149.341228
-10.44,45,149.527572
-10.24,25,149.620043
-10.1,11,149.657336
-10.12,13,149.70859
-10.32,33,149.831873
-10.78,79,150.115701
-10.09,10,150.152413
-10.17,18,150.226862
-10.62,63,150.489558
-10.55,56,150.741974
-10.19,20,150.814517
-10.55,56,151.013908
-10.31,32,151.127442
-11.39,140,151.661309
-10.27,28,151.827586
-10.2,21,151.903034
-10.22,23,151.988253
-10.77,78,152.274272
-10.19,20,152.347338
-10.05,6,152.375779
-10.27,28,152.474392
-10.19,20,152.546493
-10.21,22,152.631494
-10.21,22,152.71228
-10.5,51,152.965039
-10.72,73,153.260473
-10.34,35,153.387009
-10.73,74,153.665532
-10.56,57,153.956046
-10.1,11,154.021348
-10.17,18,154.183227
-10.14,15,154.269384
-10.22,23,154.382165
-10.09,10,154.432538
-10.5,51,154.732179
-10.15,16,154.829269
-10.1,11,154.895255
-10.64,65,155.292832
-10.44,45,155.569314
-10.53,54,155.873182
-12.3,231,157.24254
-10.59,60,157.635545
-10.67,68,158.043994
-10.09,10,158.108745
-10.25,26,158.267583
-10.19,20,158.388695
-10.28,29,158.558842
-10.93,94,159.16866
-10.24,25,159.301698
-10.33,34,159.464804
-10.11,12,159.530351
-10.32,33,159.685154
-10.39,40,159.869137
-10.16,17,159.978367
-10.1,11,160.033036
-10.64,65,160.419177
-10.57,58,160.70895
-10.4,41,160.916162
-10.38,39,161.106621
-10.15,16,161.209329
-11.28,129,161.936061
-10.07,8,161.980512
-10.37,38,162.167131
-10.39,40,162.355003
-10.73,74,162.85284
-10.18,19,162.945857
-10.08,9,162.990378
-10.37,38,163.18264
-10.7,71,163.440825
-10.93,94,163.862213
-10.55,56,164.077954
-10.46,47,164.258464
-11.17,118,164.686171
-10.17,18,164.763723
-11.29,130,165.339021
-10.08,9,165.372556
-10.06,7,165.400816
-10.19,20,165.474682
-10.64,65,165.708245
-10.1,11,165.744962
-10.13,14,165.798197
-10.23,24,165.883125
-10.27,28,166.089925
-10.17,18,166.157504
-10.12,13,166.201273
-10.03,4,166.217418
-10.86,87,166.529889
-10.75,76,166.809777
-10.4,41,166.96249
-10.27,28,167.059174
-10.61,62,167.369095
-11.25,126,167.832943
-10.53,54,168.032259
-10.47,48,168.210616
-10.1,11,168.255567
-10.05,6,168.275738
-10.08,9,168.311877
-10.38,39,168.528481
-10.5,51,168.722895
-10.54,55,168.927787
-10.49,50,169.11677
-10.22,23,169.199658
-10.52,53,169.394881
-10.35,36,169.523818
-10.07,8,169.556103
-10.35,36,169.765969
-10.34,35,169.894744
-10.14,15,169.959269
-10.07,8,169.982986
-10.3,31,170.101709
-10.25,26,170.194733
-10.14,15,170.250675
-10.65,66,170.489445
-10.13,14,170.539772
-10.79,80,170.952035
-10.38,39,171.151589
-10.54,55,171.458228
-10.27,28,171.627872
-10.31,32,171.835302
-10.62,63,172.244726
-10.35,36,172.419292
-10.2,21,172.546376
-10.38,39,172.765522
-10.28,29,172.940469
-10.21,22,173.058256
-10.52,53,173.386203
-10.13,14,173.460322
-10.44,45,173.698146
-10.04,5,173.730428
-10.07,8,173.785138
-10.12,13,173.854275
-10.1,11,173.920036
-10.19,20,174.040654
-10.18,19,174.158376
-10.15,16,174.242613
-10.47,48,174.557979
-10.17,18,174.653723
-10.2,21,174.760501
-10.08,9,174.814703
-10.09,10,174.875831
-10.48,49,175.153434
-11.52,153,176.066473
-10.25,26,176.197451
-10.29,30,176.354929
-10.61,62,176.676634
-10.14,15,176.76083
-10.22,23,176.919753
-10.92,93,177.446201
-10.41,42,177.655999
-10.15,16,177.734802
-10.13,14,177.806785
-10.15,16,177.88575
-10.48,49,178.218876
-11.27,128,178.904741
-10.31,32,179.06391
-10.79,80,179.5685
-10.12,13,179.638445
-10.55,56,179.889165
-10.13,14,179.940967
-10.15,16,179.996275
-10.14,15,180.049305
-10.28,29,180.15627
-10.96,97,180.59587
-10.18,19,180.66589
-10.35,36,180.796821
-10.43,44,180.955533
-10.16,17,181.016659
-10.38,39,181.156213
-10.11,12,181.204206
-10.29,30,181.317566
-10.3,31,181.428416
-10.36,37,181.571121
-10.6,61,181.880558
-10.07,8,181.912312
-10.35,36,182.040708
-10.13,14,182.093326
-10.27,28,182.197108
-11.04,105,182.577791
-10.24,25,182.667978
-10.26,27,182.76443
-10.15,16,182.846349
-10.7,71,183.159434
-10.1,11,183.205259
-10.15,16,183.262198
-10.37,38,183.393475
-10.25,26,183.499372
-10.6,61,183.717345
-10.75,76,183.990854
-10.09,10,184.048748
-10.44,45,184.276381
-10.28,29,184.383825
-10.44,45,184.546921
-10.35,36,184.675455
-10.78,79,184.962436
-10.13,14,185.015294
-11.07,108,185.497868
-10.19,20,185.581242
-10.18,19,185.655823
-10.35,36,185.79384
-10.29,30,185.902025
-10.32,33,186.024132
-10.18,19,186.094123
-10.4,41,186.23979
-10.07,8,186.264523
-10.12,13,186.314922
-10.14,15,186.36914
-10.67,68,186.717792
-10.58,59,186.943721
-12.18,219,187.988381
-10.39,40,188.199565
-10.39,40,188.433137
-10.54,55,188.752174
-10.36,37,189.003041
-10.22,23,189.134987
-10.04,5,189.160186
-10.16,17,189.255984
-10.05,6,189.289343
-10.7,71,189.684348
-10.53,54,189.994669
-10.4,41,190.28334
-10.07,8,190.32856
-10.58,59,190.664129
-10.11,12,190.734534
-11.14,115,191.439331
-10.04,5,191.466006
-10.25,26,191.602448
-10.36,37,191.827443
-10.17,18,191.938471
-10.73,74,192.393118
-10.82,83,192.907482
-10.29,30,193.054029
-10.7,71,193.409981
-10.32,33,193.57348
-10.45,46,193.870851
-10.08,9,193.929708
-10.35,36,194.131185
-10.31,32,194.297484
-10.4,41,194.506534
-10.22,23,194.622311
-10.27,28,194.745592
-10.31,32,194.951385
-10.37,38,195.192964
-10.75,76,195.564415
-10.22,23,195.687145
-10.6,61,195.993065
-10.27,28,196.201618
-10.08,9,196.261509
-10.15,16,196.348241
-10.39,40,196.561194
-10.16,17,196.625011
-10.48,49,196.797013
-10.09,10,196.832764
-10.3,31,196.943616
-10.05,6,196.964723
-10.16,17,197.029707
-10.43,44,197.188812
-10.16,17,197.248626
-10.25,26,197.410351
-10.1,11,197.463731
-10.19,20,197.536231
-10.14,15,197.597679
-10.1,11,197.641106
-10.68,69,197.889575
-10.2,21,197.982851
-10.78,79,198.288296
-10.17,18,198.357161
-10.13,14,198.406991
-10.3,31,198.544785
-10.5,51,198.783767
-10.62,63,199.013705
-10.41,42,199.163553
-10.35,36,199.291726
-12.71,272,200.37732
-10.25,26,200.470519
-11.04,105,200.851504
-10.28,29,201.028401
-11.21,122,201.474591
-10.2,21,201.55044
-10.5,51,201.737429
-10.24,25,201.827461
-10.87,88,202.201296
-10.11,12,202.273397
-10.33,34,202.392135
-10.09,10,202.427853
-10.11,12,202.481301
-10.07,8,202.526573
-11.96,197,203.247481
-10.47,48,203.514318
-10.09,10,203.549153
-10.7,71,203.817312
-10.35,36,203.947003
-11.24,125,204.634562
-10.11,12,204.697504
-10.25,26,204.82286
-10.1,11,204.893698
-10.3,31,205.067193
-10.09,10,205.130049
-10.04,5,205.16115
-10.11,12,205.22324
-10.16,17,205.321057
-10.23,24,205.45367
-10.13,14,205.534775
-10.13,14,205.619514
-11.45,146,206.498576
-10.4,41,206.725999
-10.28,29,206.933209
-11.16,117,207.609389
-10.37,38,207.838113
-10.26,27,208.004279
-10.4,41,208.286537
-10.29,30,208.439267
-10.12,13,208.508569
-10.19,20,208.632226
-11.27,128,209.437965
-10.39,40,209.6574
-10.23,24,209.784165
-10.63,64,210.098111
-10.33,34,210.265606
-10.1,11,210.328892
-10.43,44,210.606308
-10.27,28,210.775902
-10.64,65,211.105856
-10.59,60,211.413395
-10.57,58,211.795193
-10.45,46,212.053715
-10.47,48,212.295636
-10.34,35,212.469017
-11.14,115,213.135498
-10.96,97,213.658704
-10.09,10,213.710523
-10.58,59,213.928535
-11.36,137,214.521533
-10.05,6,214.544175
-10.19,20,214.615009
-10.14,15,214.669904
-10.11,12,214.7208
-10.13,14,214.767953
-10.25,26,214.864892
-10.21,22,214.943381
-10.52,53,215.144904
-10.07,8,215.175663
-10.15,16,215.262765
-10.21,22,215.397894
-10.38,39,215.543302
-10.12,13,215.586521
-10.09,10,215.62275
-10.19,20,215.696126
-10.3,31,215.808875
-10.73,74,216.075823
-10.57,58,216.287654
-10.23,24,216.377381
-10.07,8,216.4023
-10.11,12,216.529843
-10.52,53,216.747307
-10.13,14,216.805669
-10.61,62,217.026365
-10.76,77,217.313466
-10.59,60,217.531465
-10.36,37,217.721866
-10.09,10,217.797615
-10.28,29,217.915339
-10.27,28,218.028716
-10.86,87,218.344707
-10.55,56,218.547279
-10.2,21,218.633777
-10.11,12,218.679815
-12.21,222,219.593554
-10.39,40,219.736105
-10.13,14,219.785499
-10.35,36,219.916905
-10.22,23,220.002468
-10.07,8,220.02862
-10.6,61,220.332941
-10.09,10,220.370527
-10.05,6,220.391863
-10.08,9,220.424555
-10.17,18,220.488528
-10.67,68,220.735178
-10.11,12,220.775403
-10.57,58,221.011323
-11.32,133,221.668575
-10.44,45,221.93855
-10.21,22,222.073014
-10.33,34,222.268341
-10.6,61,222.670779
-10.47,48,222.902254
-10.45,46,223.183356
-10.29,30,223.370224
-10.85,86,223.875953
-10.14,15,223.955673
-10.88,89,224.468112
-10.2,21,224.581078
-11.63,164,225.613221
-10.3,31,225.802647
-10.61,62,226.199463
-10.3,31,226.356999
-10.4,41,226.573016
-10.04,5,226.599034
-10.91,92,227.061062
-10.1,11,227.115442
-10.24,25,227.277445
-10.43,44,227.554538
-10.3,31,227.727495
-10.22,23,227.846597
-10.41,42,228.05417
-10.58,59,228.347641
-10.58,59,228.74315
-10.8,81,229.164182
-10.02,3,229.182344
-10.13,14,229.247835
-11.25,126,230.00138
-10.59,60,230.315121
-10.43,44,230.527837
-10.34,35,230.653927
-11.14,115,231.166152
-10.41,42,231.322671
-10.34,35,231.450738
-11.66,167,232.11282
-10.46,47,232.344165
-10.34,35,232.472389
-10.17,18,232.53537
-10.08,9,232.568542
-10.19,20,232.641902
-10.72,73,232.923148
-10.59,60,233.148835
-10.27,28,233.246884
-10.33,34,233.445373
-10.2,21,233.529436
-10.24,25,233.621701
-10.32,33,233.744067
-10.17,18,233.806159
-10.05,6,233.83777
-10.11,12,233.878769
-10.86,87,234.2019
-10.44,45,234.364686
-10.07,8,234.396766
-10.46,47,234.625779
-10.53,54,234.850317
-10.18,19,234.922276
-10.13,14,234.975675
-10.07,8,234.999826
-10.22,23,235.089487
-10.26,27,235.184093
-10.13,14,235.237459
-10.2,21,235.314267
-10.14,15,235.367614
-10.19,20,235.441706
-10.7,71,235.705683
-10.29,30,235.903986
-10.03,4,235.912497
-10.65,66,236.156563
-10.23,24,236.248465
-10.41,42,236.406016
-10.37,38,236.547682
-10.48,49,236.724906
-10.59,60,236.962217
-10.21,22,237.111758
-10.53,54,237.302667
-11.12,113,237.714607
-10.07,8,237.745263
-10.36,37,237.882522
-10.14,15,237.935652
-10.33,34,238.065445
-10.22,23,238.245647
-10.23,24,238.399635
-10.36,37,238.587195
-10.46,47,238.89989
-10.56,57,239.319232
-10.19,20,239.512575
-10.42,43,239.762785
-10.77,78,240.194684
-10.17,18,240.295181
