time/episodes,rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/exploration_rate,time/time_elapsed,train/learning_rate,train/loss,train/n_updates
4,-10.08,2486,36,9.0,0.9828999999999998,0,,,
8,-10.08625,3553,77,9.625,0.9634249999999999,0,,,
12,-10.077499999999999,531,105,8.75,0.9501250000000002,0,0.1,0.5940293669700623,1
16,-10.099375,546,175,10.9375,0.9168749999999997,0,0.1,0.5922396183013916,18
20,-10.092500000000001,557,205,10.25,0.9026250000000002,0,0.1,0.8138303756713867,26
24,-10.099583333333333,598,263,10.958333333333334,0.875075,0,0.1,0.533244252204895,40
28,-10.099642857142856,609,307,10.964285714285714,0.8541750000000002,0,0.1,0.7683500647544861,51
32,-10.1146875,646,399,12.46875,0.8104749999999998,0,0.1,0.6767987608909607,74
36,-10.114722222222222,659,449,12.472222222222221,0.7867250000000003,0,0.1,0.5895951986312866,87
40,-10.11925,682,517,12.925,0.7544249999999997,0,0.1,0.3088108003139496,104
44,-10.121363636363636,687,578,13.136363636363637,0.7254499999999997,0,0.1,0.6110422611236572,119
48,-10.128958333333333,700,667,13.895833333333334,0.6831750000000001,0,0.1,0.6018005013465881,141
52,-10.132692307692308,699,742,14.26923076923077,0.6475499999999998,1,0.1,0.03256335109472275,160
56,-10.128214285714288,702,774,13.821428571428571,0.6323500000000004,1,0.1,0.12314612418413162,168
60,-10.128000000000002,703,828,13.8,0.6067000000000001,1,0.1,0.002610723953694105,181
64,-10.123281250000002,703,853,13.328125,0.5948250000000004,1,0.1,1.0737758874893188,188
68,-10.128088235294118,707,939,13.808823529411764,0.5539749999999996,1,0.1,0.7455954551696777,209
72,-3.044583333333333,702,993,13.791666666666666,0.5283250000000003,1,0.1,0.6907546520233154,223
76,-3.4185526315789474,695,1057,13.907894736842104,0.4979250000000005,1,0.1,0.6142957806587219,239
80,-3.7600000000000002,688,1160,14.5,0.4489999999999996,1,0.1,0.3025321364402771,264
84,-4.064523809523809,683,1226,14.595238095238095,0.41764999999999985,1,0.1,0.5644612312316895,281
88,-4.342954545454546,664,1306,14.840909090909092,0.3796499999999998,1,0.1,0.6376652121543884,301
92,-4.594782608695653,657,1364,14.826086956521738,0.35209999999999975,2,0.1,0.35484686493873596,315
96,0.4822916666666674,638,1466,15.270833333333334,0.30364999999999975,2,0.1,0.010898683220148087,341
100,0.060100000000000674,633,1499,14.99,0.2879750000000004,2,0.1,0.30797070264816284,349
104,0.06090000000000046,627,1527,14.91,0.2746749999999998,2,0.1,0.6852309703826904,356
108,0.05870000000000035,610,1590,15.13,0.2447499999999999,2,0.1,1.0801362991333008,372
112,0.05960000000000072,600,1609,15.04,0.23572499999999985,2,0.1,0.3008699417114258,377
116,0.06080000000000055,597,1667,14.92,0.20817499999999978,2,0.1,0.31822654604911804,391
120,0.0617000000000003,595,1688,14.83,0.1981999999999997,2,0.1,0.7094504237174988,396
124,0.06529999999999923,593,1710,14.47,0.18774999999999986,2,0.1,0.29086267948150635,402
128,0.06709999999999955,592,1736,14.29,0.1754000000000001,2,0.1,1.112808346748352,408
132,0.06700000000000035,580,1829,14.3,0.13122499999999981,3,0.1,0.339738667011261,432
136,0.0687000000000002,576,1862,14.13,0.11555000000000049,3,0.1,0.9756356477737427,440
140,0.06690000000000046,572,1948,14.31,0.07469999999999977,3,0.1,0.8971372842788696,461
144,0.06400000000000049,567,2038,14.6,0.05,3,0.1,1.4139881134033203,484
148,0.06210000000000173,555,2146,14.79,0.05,3,0.1,1.4899675846099854,511
152,0.0675000000000019,554,2167,14.25,0.05,3,0.1,0.605172336101532,516
156,0.06320000000000085,552,2242,14.68,0.05,4,0.1,0.32865405082702637,535
160,0.06390000000000055,551,2289,14.61,0.05,4,0.1,0.6041890382766724,547
164,0.057400000000000215,553,2379,15.26,0.05,4,0.1,1.2022051811218262,569
168,0.06380000000000006,552,2401,14.62,0.05,4,0.1,0.6045284867286682,575
172,0.05870000000000077,552,2506,15.13,0.05,4,0.1,0.7180874347686768,601
176,0.05420000000000117,550,2615,15.58,0.05,4,0.1,0.23939263820648193,628
180,0.06280000000000055,549,2632,14.72,0.05,4,0.1,0.365153968334198,632
184,0.05800000000000088,543,2746,15.2,0.05,5,0.1,0.9366668462753296,661
188,0.06070000000000111,543,2799,14.93,0.05,5,0.1,0.5990275740623474,674
192,0.05820000000000185,540,2882,15.18,0.05,5,0.1,0.7302614450454712,695
196,-5.040599999999999,541,2972,15.06,0.05,5,0.1,0.8964400291442871,717
200,-5.040099999999999,541,3000,15.01,0.05,5,0.1,0.3311828374862671,724
204,0.059300000000001206,541,3034,15.07,0.05,5,0.1,0.32555028796195984,733
208,0.05840000000000098,542,3106,15.16,0.05,5,0.1,0.6243458986282349,751
212,0.040100000000001204,542,3308,16.99,0.05,6,0.1,0.30930185317993164,801
216,0.04220000000000182,541,3345,16.78,0.05,6,0.1,0.027412254363298416,811
220,0.037300000000000964,539,3415,17.27,0.05,6,0.1,0.3043740391731262,828
224,0.03270000000000193,539,3483,17.73,0.05,6,0.1,0.5984922051429749,845
228,0.024800000000002386,540,3588,18.52,0.05,6,0.1,0.6652530431747437,871
232,0.01590000000000117,538,3770,19.41,0.05,6,0.1,0.3296160399913788,917
236,0.016100000000001096,538,3801,19.39,0.05,7,0.1,0.035293951630592346,925
240,0.012300000000000644,534,3925,19.77,0.05,7,0.1,0.6228336095809937,956
244,0.01870000000000088,533,3951,19.13,0.05,7,0.1,0.08533512055873871,962
248,0.02690000000000026,532,3977,18.31,0.05,7,0.1,0.8554102778434753,969
252,0.020000000000000143,530,4067,19.0,0.05,7,0.1,0.2967040240764618,991
256,0.021700000000001527,530,4125,18.83,0.05,7,0.1,0.0042531536892056465,1006
260,0.02230000000000137,530,4166,18.77,0.05,7,0.1,1.1837998628616333,1016
264,0.014700000000001445,533,4332,19.53,0.05,8,0.1,0.29871368408203125,1057
268,0.005300000000001486,535,4448,20.47,0.05,8,0.1,0.2982628345489502,1086
272,-5.091799999999999,534,4524,20.18,0.05,8,0.1,0.3069239854812622,1105
276,-5.088899999999999,533,4604,19.89,0.05,8,0.1,0.6736007928848267,1125
280,-5.0953,534,4685,20.53,0.05,8,0.1,0.6212877035140991,1146
284,-5.087999999999999,534,4726,19.8,0.05,8,0.1,0.30078262090682983,1156
288,-5.090899999999998,536,4808,20.09,0.05,8,0.1,0.5982028841972351,1176
292,-5.094099999999998,538,4923,20.41,0.05,9,0.1,0.5894001126289368,1205
296,-5.0928999999999975,539,5001,20.29,0.05,9,0.1,0.30408725142478943,1225
300,-5.097799999999998,539,5078,20.78,0.05,9,0.1,0.058959536254405975,1244
304,-10.2003,539,5137,21.03,0.05,9,0.1,0.29860708117485046,1259
308,-10.197799999999999,539,5184,20.78,0.05,9,0.1,0.609969973564148,1270
312,-10.180399999999999,538,5212,19.04,0.05,9,0.1,16.489246368408203,1277
316,-10.185500000000001,537,5300,19.55,0.05,9,0.1,0.5920849442481995,1299
320,-10.193399999999999,537,5449,20.34,0.05,10,0.1,0.3036279082298279,1337
324,-10.1935,537,5518,20.35,0.05,10,0.1,0.46150606870651245,1354
328,-10.186,536,5548,19.6,0.05,10,0.1,0.5933655500411987,1361
332,-10.170499999999999,536,5575,18.05,0.05,10,0.1,0.2981131076812744,1368
336,-10.1699,536,5600,17.99,0.05,10,0.1,0.5674999952316284,1374
340,-10.164099999999998,535,5666,17.41,0.05,10,0.1,0.3018617630004883,1391
344,-10.171000000000001,535,5761,18.1,0.05,10,0.1,0.5948730111122131,1415
348,-5.076300000000001,532,5840,18.63,0.05,10,0.1,0.30324918031692505,1434
352,-5.083400000000001,534,6001,19.34,0.05,11,0.1,0.5685381293296814,1475
356,-5.0835,535,6060,19.35,0.05,11,0.1,0.3097178339958191,1489
360,-5.0813,534,6079,19.13,0.05,11,0.1,0.3001711070537567,1494
364,-5.067499999999999,534,6107,17.75,0.05,11,0.1,0.48620933294296265,1501
368,-5.058599999999999,534,6134,16.86,0.05,11,0.1,0.2986001670360565,1508
372,-5.0528,535,6152,16.28,0.05,11,0.1,0.29984891414642334,1512
376,-5.052000000000001,535,6224,16.2,0.05,11,0.1,0.894302248954773,1530
380,-5.0501000000000005,536,6286,16.01,0.05,11,0.1,0.006289358716458082,1546
384,-5.051200000000001,536,6338,16.12,0.05,11,0.1,1.551771640777588,1559
388,-5.050700000000001,536,6415,16.07,0.05,11,0.1,0.30529630184173584,1578
392,-5.0437,535,6460,15.37,0.05,12,0.1,0.5915342569351196,1589
396,-5.038900000000001,534,6490,14.89,0.05,12,0.1,0.6072213649749756,1597
400,-5.0353,534,6531,14.53,0.05,12,0.1,16.02610206604004,1607
404,-5.037300000000001,533,6610,14.73,0.05,12,0.1,0.915058434009552,1627
408,-5.036800000000002,533,6652,14.68,0.05,12,0.1,0.30047038197517395,1637
412,-5.044200000000001,534,6754,15.42,0.05,12,0.1,0.8868262767791748,1663
416,-5.0436000000000005,535,6836,15.36,0.05,12,0.1,0.8938772678375244,1683
420,-5.0453,536,7002,15.53,0.05,13,0.1,0.5999507904052734,1725
424,0.05819999999999936,536,7036,15.18,0.05,13,0.1,0.5957386493682861,1733
428,0.04949999999999896,533,7153,16.05,0.05,13,0.1,0.3037441670894623,1763
432,0.044699999999999226,532,7228,16.53,0.05,13,0.1,0.3008866310119629,1781
436,0.04009999999999954,532,7299,16.99,0.05,13,0.1,0.5964967012405396,1799
440,0.045299999999999695,530,7313,16.47,0.05,13,0.1,0.5934503078460693,1803
444,0.04609999999999914,529,7400,16.39,0.05,13,0.1,0.5944381952285767,1824
448,-5.058699999999999,530,7527,16.87,0.05,14,0.1,0.3013607859611511,1856
452,-5.044199999999999,530,7543,15.42,0.05,14,0.1,0.2979271411895752,1860
456,-5.0443999999999996,530,7604,15.44,0.05,14,0.1,0.6004835367202759,1875
460,-5.0474999999999985,529,7654,15.75,0.05,14,0.1,0.30334359407424927,1888
464,0.05140000000000043,528,7693,15.86,0.05,14,0.1,0.8922376036643982,1898
468,0.051800000000001206,528,7716,15.82,0.05,14,0.1,0.5889841914176941,1903
472,0.05210000000000166,528,7731,15.79,0.05,14,0.1,0.8905420303344727,1907
476,0.04870000000000216,528,7837,16.13,0.05,14,0.1,0.8932980298995972,1934
480,0.051300000000001574,528,7873,15.87,0.05,14,0.1,0.00697663426399231,1943
484,0.052400000000001244,528,7914,15.76,0.05,14,0.1,1.19133722782135,1953
488,0.0492000000000014,529,8023,16.08,0.05,15,0.1,0.294133722782135,1980
492,0.04300000000000041,530,8130,16.7,0.05,15,0.1,0.29813894629478455,2007
496,0.042800000000000595,530,8162,16.72,0.05,15,0.1,0.8932527303695679,2015
500,0.04510000000000094,530,8180,16.49,0.05,15,0.1,0.5981346368789673,2019
504,0.04230000000000048,531,8287,16.77,0.05,15,0.1,0.3034728169441223,2046
508,0.04480000000000183,530,8304,16.52,0.05,15,0.1,0.000645269057713449,2050
512,0.05030000000000205,528,8351,15.97,0.05,15,0.1,0.595395565032959,2062
516,0.0464000000000023,527,8472,16.36,0.05,16,0.1,1.1853281259536743,2092
520,0.061400000000002224,526,8488,14.86,0.05,16,0.1,0.6016101837158203,2096
524,-5.045899999999998,523,8595,15.59,0.05,16,0.1,0.59531569480896,2123
528,-5.037599999999998,523,8629,14.76,0.05,16,0.1,0.6604839563369751,2132
532,-5.040399999999998,520,8732,15.04,0.05,16,0.1,0.004953229799866676,2157
536,-5.042799999999997,518,8827,15.28,0.05,17,0.1,1.491673231124878,2181
540,-5.052199999999998,518,8935,16.22,0.05,17,0.1,0.013895664364099503,2208
544,-5.046899999999997,518,8969,15.69,0.05,17,0.1,0.8941360116004944,2217
548,-5.042599999999998,517,9053,15.26,0.05,17,0.1,0.8866879940032959,2238
552,-5.048199999999998,516,9125,15.82,0.05,17,0.1,16.50331687927246,2256
556,-5.043899999999997,516,9143,15.39,0.05,17,0.1,0.5972027778625488,2260
560,-5.0467999999999975,514,9222,15.68,0.05,17,0.1,0.30216184258461,2280
564,-10.151499999999999,512,9308,16.15,0.05,18,0.1,0.30196207761764526,2301
568,-5.0539999999999985,512,9356,16.4,0.05,18,0.1,0.5914541482925415,2313
572,-5.059299999999999,512,9424,16.93,0.05,18,0.1,0.8812798261642456,2330
576,-5.055,511,9487,16.5,0.05,18,0.1,1.1916447877883911,2346
580,-5.053299999999998,511,9506,16.33,0.05,18,0.1,1.48421311378479,2351
584,-5.050599999999999,511,9520,16.06,0.05,18,0.1,0.29918038845062256,2354
588,-5.040899999999999,511,9532,15.09,0.05,18,0.1,0.5917297601699829,2357
592,-5.036599999999998,511,9596,14.66,0.05,18,0.1,0.8966841697692871,2373
596,-5.040199999999999,509,9664,15.02,0.05,18,0.1,0.5943217277526855,2390
600,-5.039699999999998,509,9677,14.97,0.05,18,0.1,0.5962176322937012,2394
604,-5.036699999999999,507,9754,14.67,0.05,19,0.1,0.6004886627197266,2413
608,-5.039599999999998,506,9800,14.96,0.05,19,0.1,1.1849364042282104,2424
612,-5.036399999999999,506,9815,14.64,0.05,19,0.1,0.5962542295455933,2428
616,-5.025899999999998,505,9831,13.59,0.05,19,0.1,15.910545349121094,2432
620,-5.0423,503,10011,15.23,0.05,19,0.1,0.5993924736976624,2477
624,-5.039599999999999,503,10091,14.96,0.05,20,0.1,0.5950430035591125,2497
628,-5.040399999999999,502,10133,15.04,0.05,20,0.1,0.3084354102611542,2508
632,-5.034199999999999,502,10174,14.42,0.05,20,0.1,0.0007581927930004895,2518
636,-5.0261999999999984,502,10189,13.62,0.05,20,0.1,0.30013078451156616,2522
640,-5.016799999999998,502,10203,12.68,0.05,20,0.1,0.0048065464943647385,2525
644,-5.025099999999998,499,10320,13.51,0.05,20,0.1,0.5936781167984009,2554
648,-5.022299999999999,499,10376,13.23,0.05,20,0.1,0.896872878074646,2568
652,-5.016799999999998,499,10393,12.68,0.05,20,0.1,0.002120252000167966,2573
656,-5.016899999999998,499,10412,12.69,0.05,20,0.1,0.593365490436554,2577
660,-5.018399999999999,499,10506,12.84,0.05,21,0.1,0.31292033195495605,2601
664,-5.0222999999999995,499,10631,13.23,0.05,21,0.1,0.5960837602615356,2632
668,-10.120999999999999,499,10666,13.1,0.05,21,0.1,1.188662052154541,2641
672,-10.116699999999998,499,10691,12.67,0.05,21,0.1,0.5974041223526001,2647
676,-10.112199999999998,499,10709,12.22,0.05,21,0.1,0.30427950620651245,2652
680,-10.1263,497,10869,13.63,0.05,21,0.1,0.2950710952281952,2692
684,-10.1367,497,10987,14.67,0.05,22,0.1,0.5914371013641357,2721
688,-10.1431,497,11063,15.31,0.05,22,0.1,0.29436299204826355,2740
692,-10.139299999999999,497,11089,14.93,0.05,22,0.1,0.00034970356500707567,2747
696,-10.1351,497,11115,14.51,0.05,22,0.1,1.2024469375610352,2753
700,-10.1498,496,11275,15.98,0.05,22,0.1,0.5908148288726807,2793
704,-10.1481,495,11335,15.81,0.05,22,0.1,0.5842410326004028,2808
708,-10.1471,495,11371,15.71,0.05,22,0.1,0.296709269285202,2817
712,-10.150199999999998,495,11417,16.02,0.05,23,0.1,0.006851534359157085,2829
716,-10.159399999999998,495,11525,16.94,0.05,23,0.1,0.592899739742279,2856
720,-10.168399999999998,495,11795,17.84,0.05,23,0.1,0.295647531747818,2923
724,-10.1721,493,11912,18.21,0.05,24,0.1,0.2989264130592346,2952
728,-10.169299999999998,493,11926,17.93,0.05,24,0.1,0.5923593640327454,2956
732,-10.166599999999999,493,11940,17.66,0.05,24,0.1,0.5964653491973877,2959
736,-10.1794,494,12083,18.94,0.05,24,0.1,0.8807880878448486,2995
740,-10.179599999999999,494,12099,18.96,0.05,24,0.1,0.8993659019470215,2999
744,-10.1731,495,12151,18.31,0.05,24,0.1,1.4795501232147217,3012
748,-10.169599999999999,495,12172,17.96,0.05,24,0.1,0.613113522529602,3017
752,-10.1813,495,12306,19.13,0.05,24,0.1,0.004532090853899717,3051
756,-10.180799999999998,495,12320,19.08,0.05,24,0.1,0.8848711848258972,3054
760,-10.172999999999996,495,12336,18.3,0.05,24,0.1,0.2934199869632721,3058
764,-10.169199999999998,496,12423,17.92,0.05,25,0.1,0.8986648321151733,3080
768,-10.168,496,12446,17.8,0.05,25,0.1,0.5973776578903198,3086
772,-10.1708,495,12499,18.08,0.05,25,0.1,0.31036287546157837,3099
776,-10.1784,496,12593,18.84,0.05,25,0.1,0.007897896692156792,3123
780,-10.1665,496,12634,17.65,0.05,25,0.1,0.29870671033859253,3133
784,-10.156299999999998,496,12650,16.63,0.05,25,0.1,0.5994539856910706,3137
788,-10.157599999999997,496,12739,16.76,0.05,25,0.1,0.5890796780586243,3159
792,-10.160499999999999,496,12794,17.05,0.05,25,0.1,0.0006960597238503397,3173
796,-10.173899999999998,497,12954,18.39,0.05,26,0.1,0.8747267723083496,3213
800,-10.175799999999999,497,13133,18.58,0.05,26,0.1,0.5970172882080078,3258
804,-10.173499999999997,497,13170,18.35,0.05,26,0.1,0.004637322388589382,3267
808,-10.171099999999997,497,13182,18.11,0.05,26,0.1,0.880280613899231,3270
812,-5.0783999999999985,498,13301,18.84,0.05,26,0.1,0.009151911363005638,3300
816,-5.0836,499,13461,19.36,0.05,26,0.1,0.00833972916007042,3340
820,-5.074899999999999,500,13644,18.49,0.05,27,0.1,1.1837894916534424,3385
824,-5.067899999999998,500,13691,17.79,0.05,27,0.1,0.29529669880867004,3397
828,-5.076099999999998,499,13787,18.61,0.05,27,0.1,0.011810426600277424,3421
832,-5.079999999999999,499,13840,19.0,0.05,27,0.1,0.0027788805309683084,3434
836,-5.067099999999999,499,13854,17.71,0.05,27,0.1,0.8991333842277527,3438
840,-5.080099999999999,499,14000,19.01,0.05,28,0.1,0.8939820528030396,3474
844,-5.081699999999999,500,14068,19.17,0.05,28,0.1,0.01278628408908844,3491
848,-5.083399999999998,500,14106,19.34,0.05,28,0.1,0.3019641637802124,3501
852,-5.074099999999999,500,14147,18.41,0.05,28,0.1,0.5899426937103271,3511
856,-5.084199999999998,500,14262,19.42,0.05,28,0.1,0.5929871797561646,3540
860,-5.098699999999999,501,14423,20.87,0.05,28,0.1,0.2964865565299988,3580
864,-5.1004,500,14527,21.04,0.05,28,0.1,0.5991086363792419,3606
868,-5.1,500,14546,21.0,0.05,29,0.1,1.4945104122161865,3611
872,-5.1072999999999995,501,14672,21.73,0.05,29,0.1,0.5894815921783447,3642
876,-5.103499999999999,502,14728,21.35,0.05,29,0.1,0.29947301745414734,3656
880,-5.100999999999999,502,14744,21.1,0.05,29,0.1,0.5825732946395874,3660
884,-5.101199999999999,502,14762,21.12,0.05,29,0.1,0.2936517894268036,3665
888,-5.100799999999998,502,14847,21.08,0.05,29,0.1,0.3021025061607361,3686
892,-5.100599999999998,502,14900,21.06,0.05,29,0.1,0.2971392273902893,3699
896,-5.093399999999998,503,14988,20.34,0.05,29,0.1,1.1884326934814453,3721
900,-5.094699999999998,503,15180,20.47,0.05,30,0.1,0.5933144688606262,3769
904,-5.092599999999998,503,15196,20.26,0.05,30,0.1,0.5939171314239502,3773
908,-5.102399999999999,504,15306,21.24,0.05,30,0.1,0.0029854474123567343,3801
912,-10.1939,504,15340,20.39,0.05,30,0.1,0.5957714319229126,3809
916,-10.190299999999999,505,15464,20.03,0.05,30,0.1,16.79989242553711,3840
920,-10.1756,505,15500,18.56,0.05,30,0.1,0.890485405921936,3849
924,-10.172499999999998,505,15516,18.25,0.05,30,0.1,0.3003627061843872,3853
928,-10.174999999999999,505,15637,18.5,0.05,30,0.1,0.0006193647859618068,3884
932,-10.171399999999998,505,15654,18.14,0.05,30,0.1,0.5946035981178284,3888
936,-5.071899999999999,505,15673,18.19,0.05,30,0.1,0.8922194242477417,3893
940,-5.071,505,15810,18.1,0.05,31,0.1,1.1811926364898682,3927
944,-5.070999999999999,505,15878,18.1,0.05,31,0.1,1.494587779045105,3944
948,-5.074699999999998,505,15953,18.47,0.05,31,0.1,0.5899250507354736,3963
952,-5.080099999999999,506,16048,19.01,0.05,31,0.1,0.30294105410575867,3986
956,-5.088799999999999,505,16250,19.88,0.05,32,0.1,0.8897757530212402,4037
960,-5.0794,505,16317,18.94,0.05,32,0.1,0.001981495413929224,4054
964,-5.0729999999999995,503,16357,18.3,0.05,32,0.1,0.5942984223365784,4064
968,-5.072999999999999,503,16376,18.3,0.05,32,0.1,0.3039673864841461,4068
972,-5.073599999999999,502,16508,18.36,0.05,32,0.1,0.5982840061187744,4101
976,-5.088499999999999,500,16713,19.85,0.05,33,0.1,0.2981994152069092,4153
980,-5.090599999999999,499,16750,20.06,0.05,33,0.1,0.5916643738746643,4162
984,-5.0969999999999995,498,16832,20.7,0.05,33,0.1,0.3268122971057892,4182
988,-5.093599999999999,499,16883,20.36,0.05,33,0.1,0.0019890626426786184,4195
992,-5.089999999999998,499,16900,20.0,0.05,33,0.1,0.004099570214748383,4199
996,-5.082699999999999,499,16915,19.27,0.05,33,0.1,0.8916999101638794,4203
1000,-5.077899999999999,497,17059,18.79,0.05,34,0.1,0.2970201075077057,4239
1004,-5.078399999999999,497,17080,18.84,0.05,34,0.1,0.8989863395690918,4244
1008,-5.0737,497,17143,18.37,0.05,34,0.1,0.8937602043151855,4260
1012,-5.076599999999999,497,17206,18.66,0.05,34,0.1,0.0015227517578750849,4276
1016,-5.0659,497,17223,17.59,0.05,34,0.1,0.5866031646728516,4280
1020,-5.0639,497,17239,17.39,0.05,34,0.1,0.3038959503173828,4284
1024,-5.063599999999999,496,17252,17.36,0.05,34,0.1,0.88780677318573,4287
1028,-5.068899999999999,495,17426,17.89,0.05,35,0.1,0.30416783690452576,4331
1032,-5.080099999999999,494,17555,19.01,0.05,35,0.1,0.5960243940353394,4363
1036,-10.192599999999999,491,17699,20.26,0.05,36,0.1,0.5941439867019653,4399
1040,-10.195999999999998,490,17870,20.6,0.05,36,0.1,0.5967194437980652,4442
1044,-10.204299999999998,489,18021,21.43,0.05,36,0.1,0.30114564299583435,4480
1048,-10.2054,489,18107,21.54,0.05,36,0.1,0.5801762938499451,4501
1052,-10.2257,487,18405,23.57,0.05,37,0.1,0.3037000596523285,4576
1056,-10.225900000000001,487,18609,23.59,0.05,38,0.1,0.8863155245780945,4627
1060,-10.228199999999998,487,18699,23.82,0.05,38,0.1,0.30015361309051514,4649
1064,-10.237499999999999,486,18832,24.75,0.05,38,0.1,0.8889397978782654,4682
1068,-10.259199999999998,486,19068,26.92,0.05,39,0.1,0.011964433826506138,4741
1072,-10.254399999999999,486,19152,26.44,0.05,39,0.1,0.5923298597335815,4762
1076,-10.2433,484,19246,25.33,0.05,39,0.1,0.006084519904106855,4786
1080,-10.2634,483,19484,27.34,0.05,40,0.1,0.009595982730388641,4845
1084,-10.276,482,19692,28.6,0.05,40,0.1,0.2982728183269501,4897
1088,-10.283299999999999,483,19816,29.33,0.05,41,0.1,0.5903514623641968,4928
1092,-10.286999999999999,483,19870,29.7,0.05,41,0.1,0.5956970453262329,4942
1096,-10.2938,483,19953,30.38,0.05,41,0.1,0.8775025010108948,4963
